name	size	circular	host	location	environment	country.or.region	study	environment_cols	host_cols	study_cols	vcontact_cluster	cluster_cols
ERR1474570_NODE_3_length_211527_cov_11.7559_55	211527	linear	NA	Adult saliva, Philippines	Adult saliva	Philippines	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_2465_0	#DED3B3
ERR1474583_NODE_1_length_238631_cov_8.08518_143	238631	linear	NA	Adult saliva, Philippines	Adult saliva	Philippines	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_0	#8DD3C7
ERR1474584_NODE_1_length_239551_cov_58.3549_72	239551	linear	NA	Adult saliva, Philippines	Adult saliva	Philippines	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_3541_1	#EBD2DF
SRS011140_NODE_15_length_228010_cov_44.6028_15	228010	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
SRS013252_NODE_7_length_269911_cov_143.484_178	269911	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3069_2	#FACDE4
SRS013879_NODE_7_length_260460_cov_18.7579_14	260460	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS013879_NODE_7_length_260460_cov_18.7579	NA
SRS013879_NODE_11_length_207354_cov_10.9341_202	207354	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_240_2	#E8BF63
SRS013879_NODE_11_length_207354_cov_10.9341_205	207354	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_240_2	#E8BF63
SRS014470_NODE_1_length_389119_cov_8.88358_107	389119	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS014470_NODE_1_length_389119_cov_8.88358	NA
SRS014470_NODE_6_length_244976_cov_7.18311_74	244976	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8794_2	#C6C8C2
SRS014476_NODE_3_length_260597_cov_8.33481_123	260597	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_6	#BFE6BE
SRS014690_NODE_6_length_210977_cov_55.0985_58	210977	linear	Firmicutes	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#BEBADA	rgb(255, 220, 0)	VC_1770_0	#E59497
SRS015057_NODE_2_length_227748_cov_65.0344_69	227748	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS015057_NODE_2_length_227748_cov_65.0344	NA
SRS015215_NODE_3_length_265743_cov_6.54371_189	265743	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3542_0	#DBD8D9
SRS015646_NODE_1_length_220432_cov_27.2438_82	220432	circular	NA	Adult buccal mucosa, USA	Adult buccal mucosa	USA	This study	#0D0887FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_0	#84AFCF
SRS015745_NODE_1_length_241528_cov_13.1549_101	241528	circular	NA	Adult buccal mucosa, USA	Adult buccal mucosa	USA	This study	#0D0887FF	#FFFFFF	rgb(255, 220, 0)	VC_3541_1	#EBD2DF
SRS015745_NODE_3_length_214576_cov_9.12203_263	214576	circular	NA	Adult buccal mucosa, USA	Adult buccal mucosa	USA	This study	#0D0887FF	#FFFFFF	rgb(255, 220, 0)	VC_240_20	#C7D267
SRS015762_NODE_16_length_233663_cov_52.3172_213	233663	linear	Firmicutes	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#BEBADA	rgb(255, 220, 0)	VC_172_4	#EAE8BF
SRS015762_NODE_21_length_215763_cov_47.9965_275	215763	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS015762_NODE_21_length_215763_cov_47.9965	NA
SRS015797_NODE_2_length_388920_cov_36.308_184	388920	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS015797_NODE_2_length_388920_cov_36.308	NA
SRS015797_NODE_11_length_253437_cov_48.7_134	253437	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1655_3	#F1F9B5
SRS015893_NODE_8_length_256687_cov_26.4504_223	256687	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8803_6	#FFED6F
SRS015941_NODE_1_length_389980_cov_7.93841_20	389980	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS015941_NODE_1_length_389980_cov_7.93841	NA
SRS015941_NODE_2_length_315556_cov_47.6479_139	315556	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS015941_NODE_2_length_315556_cov_47.6479	NA
SRS016002_NODE_10_length_225008_cov_10.3289_62	225008	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
SRS016037_NODE_23_length_200325_cov_294.431_225	200325	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_240_2	#E8BF63
SRS016086_NODE_14_length_243417_cov_24.8521_158	243417	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8794_2	#C6C8C2
SRS016225_NODE_5_length_249678_cov_27.3838_31	249678	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1655_3	#F1F9B5
SRS016225_NODE_6_length_244067_cov_149.008_234	244067	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_0	#8DD3C7
SRS016319_NODE_4_length_245864_cov_10.831_72	245864	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8794_2	#C6C8C2
SRS016331_NODE_4_length_271840_cov_24.0229_75	271840	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3069_2	#FACDE4
SRS017007_NODE_18_length_230785_cov_20.6488_272	230785	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS017007_NODE_18_length_230785_cov_20.6488	NA
SRS017304_NODE_5_length_258288_cov_116.449_92	258288	circular	Proteobacteria	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#8DD3C7	rgb(255, 220, 0)	VC_1419_6	#BFE6BE
SRS017533_NODE_6_length_223782_cov_53.6916_296	223782	linear	Bacteroidetes	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFB3	rgb(255, 220, 0)	SRS017533_NODE_6_length_223782_cov_53.6916	NA
SRS017533_NODE_11_length_202276_cov_12.3433_146	202276	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_240_3	#BEDB7C
SRS017533_NODE_11_length_202276_cov_12.3433_150	202276	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_240_3	#BEDB7C
SRS017713_NODE_6_length_230050_cov_17.426_90	230050	linear	Firmicutes	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#BEBADA	rgb(255, 220, 0)	VC_1774_9	#BB99A4
SRS018157_NODE_7_length_269576_cov_21.4215_45	269576	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3069_2	#FACDE4
SRS018337_NODE_5_length_227716_cov_18.7174_108	227716	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
SRS018739_NODE_8_length_253246_cov_9.48565_131	253246	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8803_6	#FFED6F
SRS018791_NODE_1_length_395675_cov_35.5222_299	395675	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS018791_NODE_1_length_395675_cov_35.5222	NA
SRS018791_NODE_1_length_395675_cov_35.5222_300	395675	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS018791_NODE_1_length_395675_cov_35.5222	NA
SRS018975_NODE_4_length_268195_cov_9.84981_115	268195	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3542_0	#DBD8D9
SRS019022_NODE_2_length_328852_cov_10.0908_116	328852	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS019022_NODE_2_length_328852_cov_10.0908	NA
SRS019122_NODE_14_length_227426_cov_10.5494_232	227426	linear	Firmicutes	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#BEBADA	rgb(255, 220, 0)	VC_172_4	#EAE8BF
SRS019128_NODE_3_length_269534_cov_11.4733_234	269534	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3069_2	#FACDE4
SRS019128_NODE_4_length_264155_cov_13.4601_2	264155	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3542_0	#DBD8D9
SRS019219_NODE_9_length_232804_cov_7.05368_174	232804	linear	Firmicutes	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#BEBADA	rgb(255, 220, 0)	VC_174_0	#CDCAD0
SRS019327_NODE_9_length_258319_cov_7.57032_19	258319	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8803_6	#FFED6F
SRS019607_NODE_9_length_235695_cov_219.599_15	235695	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1769_9	#CAAEC5
SRS019974_NODE_2_length_240432_cov_14.8021_141	240432	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_3541_1	#EBD2DF
SRS020856_NODE_8_length_227958_cov_7.82357_104	227958	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
SRS022143_NODE_9_length_204796_cov_9.87473_149	204796	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_3541_1	#EBD2DF
SRS023358_NODE_1_length_276734_cov_13.5505_222	276734	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_703_0	#C191C2
SRS023538_NODE_2_length_203423_cov_44.5816_119	203423	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_4608_2	#CEB8CE
SRS023595_NODE_1_length_265806_cov_8.79388_175	265806	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3542_0	#DBD8D9
SRS024081_NODE_17_length_203718_cov_7.10722_226	203718	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_240_3	#BEDB7C
SRS024138_NODE_2_length_250931_cov_188.999_20	250931	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_0	#8DD3C7
SRS024447_NODE_1_length_212514_cov_9.48817_82	212514	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_240_20	#C7D267
SRS024447_NODE_1_length_212514_cov_9.48817_85	212514	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_240_20	#C7D267
SRS024580_NODE_10_length_227515_cov_21.2831_187	227515	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1774_9	#BB99A4
SRS042984_NODE_5_length_263381_cov_23.199_186	263381	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_8803_5	#E8EC94
SRS044230_NODE_9_length_235552_cov_53.6224_194	235552	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	SRS044230_NODE_9_length_235552_cov_53.6224	NA
SRS044486_NODE_3_length_227194_cov_96.9632_79	227194	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
SRS044662_NODE_25_length_232905_cov_15.7753_251	232905	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1774_11	#F18379
SRS045127_NODE_1_length_246162_cov_12.4049_91	246162	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1655_3	#F1F9B5
SRS045262_NODE_1_length_211049_cov_23.9758_144	211049	circular	NA	Adult buccal mucosa, USA	Adult buccal mucosa	USA	This study	#0D0887FF	#FFFFFF	rgb(255, 220, 0)	SRS045262_NODE_1_length_211049_cov_23.9758	NA
SRS046686_NODE_2_length_214097_cov_130.255_12	214097	linear	NA	Adult buccal mucosa, USA	Adult buccal mucosa	USA	This study	#0D0887FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_0	#84AFCF
SRS047590_NODE_5_length_276833_cov_10.4231_37	276833	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	SRS047590_NODE_5_length_276833_cov_10.4231	NA
SRS047634_NODE_2_length_263710_cov_7.45722_178	263710	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3542_0	#DBD8D9
SRS048719_NODE_1_length_279258_cov_17.5972_5	279258	linear	NA	Adult buccal mucosa, USA	Adult buccal mucosa	USA	This study	#0D0887FF	#FFFFFF	rgb(255, 220, 0)	VC_703_1	#BF99BE
SRS049318_NODE_5_length_260427_cov_7.01686_52	260427	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_8803_5	#E8EC94
SRS049318_NODE_9_length_212020_cov_15.2792_148	212020	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_240_20	#C7D267
SRS049389_NODE_7_length_231243_cov_30.6114_56	231243	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_3541_1	#EBD2DF
SRS050029_NODE_3_length_248730_cov_32.1946_171	248730	linear	NA	Adult buccal mucosa, USA	Adult buccal mucosa	USA	This study	#0D0887FF	#FFFFFF	rgb(255, 220, 0)	VC_1655_3	#F1F9B5
SRS050244_NODE_7_length_249854_cov_9.23851_85	249854	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_0	#8DD3C7
SRS051378_NODE_2_length_237850_cov_42.8995_81	237850	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	SRS051378_NODE_2_length_237850_cov_42.8995	NA
SRS052518_NODE_3_length_247507_cov_49.7633_85	247507	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_0	#8DD3C7
SRS053603_NODE_13_length_255687_cov_6.73762_197	255687	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1655_3	#F1F9B5
SRS056622_NODE_4_length_271258_cov_12.0151_186	271258	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8803_6	#FFED6F
SRS057355_NODE_1_length_251079_cov_131.6_185	251079	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_0	#8DD3C7
SRS057692_NODE_2_length_248922_cov_148.172_100	248922	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1655_3	#F1F9B5
SRS058730_NODE_4_length_272497_cov_41.7631_10	272497	linear	Cardiobacterium	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#B3DE69	rgb(255, 220, 0)	SRS058730_NODE_4_length_272497_cov_41.7631	NA
SRS058808_NODE_7_length_260368_cov_38.0061_240	260368	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	SRS058808_NODE_7_length_260368_cov_38.0061	NA
SRS062761_NODE_8_length_225204_cov_34.0657_4	225204	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
SRS063603_NODE_10_length_226102_cov_9.39338_185	226102	linear	Firmicutes	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#BEBADA	rgb(255, 220, 0)	SRS063603_NODE_10_length_226102_cov_9.39338	NA
SRS064423_NODE_6_length_240050_cov_6.58861_140	240050	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8794_2	#C6C8C2
SRS064774_NODE_5_length_238650_cov_8.65785_69	238650	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_3541_1	#EBD2DF
SRS078182_NODE_8_length_260353_cov_93.28_330	260353	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS078182_NODE_8_length_260353_cov_93.28	NA
SRS078425_NODE_1_length_226348_cov_18.355_86	226348	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_1769_9	#CAAEC5
SRS078677_NODE_7_length_263796_cov_15.3008_46	263796	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3069_2	#FACDE4
SRS098498_NODE_8_length_237971_cov_29.0708_155	237971	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8794_2	#C6C8C2
SRS098735_NODE_1_length_265971_cov_16.2861_70	265971	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3542_0	#DBD8D9
SRS098867_NODE_11_length_229051_cov_63.7156_191	229051	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
SRS101388_NODE_5_length_259202_cov_13.0149_26	259202	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_8803_5	#E8EC94
SRS101388_NODE_8_length_226735_cov_48.6534_160	226735	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	SRS101388_NODE_8_length_226735_cov_48.6534	NA
SRS101388_NODE_10_length_222966_cov_7.54998_61	222966	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	SRS101388_NODE_10_length_222966_cov_7.54998	NA
SRS101388_NODE_11_length_211332_cov_17.1012_7	211332	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_240_20	#C7D267
SRS103983_NODE_4_length_267175_cov_16.879_63	267175	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3542_0	#DBD8D9
SRS104165_NODE_15_length_239970_cov_9.30182_52	239970	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8794_2	#C6C8C2
SRS104830_NODE_17_length_204042_cov_9.71334_85	204042	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_2465_0	#DED3B3
SRS105100_NODE_9_length_273110_cov_7.31174_209	273110	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_703_0	#C191C2
SRS105100_NODE_14_length_202315_cov_9.26293_57	202315	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_4608_2	#CEB8CE
SRS105121_NODE_2_length_253326_cov_14.0658_158	253326	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_6	#BFE6BE
SRS142483_NODE_8_length_267299_cov_53.3807_235	267299	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3069_2	#FACDE4
SRS142483_NODE_10_length_257797_cov_15.6928_110	257797	circular	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	SRS142483_NODE_10_length_257797_cov_15.6928	NA
SRS142483_NODE_17_length_212396_cov_60.6612_82	212396	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_8803_2	#D2EBBA
SRS142664_NODE_4_length_215051_cov_10.1813_96	215051	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_240_20	#C7D267
SRS144609_NODE_1_length_226381_cov_13.1313_134	226381	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
SRS146894_NODE_2_length_387353_cov_12.7661_48	387353	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS146894_NODE_2_length_387353_cov_12.7661	NA
SRS146894_NODE_9_length_243248_cov_58.4478_74	243248	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_8794_2	#C6C8C2
SRS147887_NODE_9_length_237960_cov_5.45839_19	237960	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	SRS147887_NODE_9_length_237960_cov_5.45839	NA
SRS148150_NODE_17_length_208122_cov_5.04636_75	208122	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
SRS148150_NODE_20_length_201279_cov_8.70353_65	201279	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_240_11	#E8B374
SRS148150_NODE_20_length_201279_cov_8.70353_69	201279	circular	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	This study	#B12A90FF	#FFFFFF	rgb(255, 220, 0)	VC_240_11	#E8B374
SRS148193_NODE_8_length_268969_cov_56.677_192	268969	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_3542_0	#DBD8D9
